objectId,yearsLivedinthecommunity,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,clinicAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess,stoveType,latitude,longitude
Psto9poSCx,1-2,1-2,,,,,,,Other,Other,Other,0,other,4,0,,,,0,0
y6DJO1kLFl,lessThan1,lessThan1,,,,,,,Other,Other,Other,0,other,4,0,,,,0,0
sdPbSYrGCW,5-10,5-10,2-3AWeek,bottled,Y,Y,cementPoor,poor,Other Hospital,Other,Water,2,street,4,0,,,,0,0
GiArohoFUo,moreThan10,moreThan10,2-3AWeek,tap,Y,Y,cementWorking,,Other,Clinic,Other,3,other,4,0,,,,0,0
rnNw8AxEix,moreThan10,moreThan10,4-6AWeek,bottled,Y,Y,cementWorking,working,Other Hospital,Other,Water,2,other,4,0,,,,0,0
YBLTPHNqsH,5-10,moreThan10,2-3AWeek,bottled,Y,Y,cementWorking,working,Clinic,Other,Other,2,street,4,0,,,,0,0
YBLTPHNqsH,5-10,moreThan10,2-3AWeek,bottled,Y,Y,cementWorking,working,Clinic,Other,Other,2,street,4,0,,,,0,0
YBLTPHNqsH,5-10,moreThan10,2-3AWeek,bottled,Y,Y,cementWorking,working,Clinic,Other,Other,2,street,4,0,,,,0,0
jTRfVVHAHN,moreThan10,lessThan1,Never,bottled,Y,Y,cementPoor,poor,Other Hospital,Other,Water,Unknown,street,4,0,,,,0,0
jTRfVVHAHN,moreThan10,lessThan1,Never,bottled,Y,Y,cementPoor,poor,Other Hospital,Other,Water,Unknown,street,4,0,,,,0,0
jTRfVVHAHN,moreThan10,lessThan1,Never,bottled,Y,Y,cementPoor,poor,Other Hospital,Other,Water,Unknown,street,4,0,,,,0,0
znX6B0Q8b5,lessThan1,lessThan1,2-3AWeek,bottled,Y,Y,dirtWorking,working,Clinic,Other,Other,3,street,4,0,,,,0,0
znX6B0Q8b5,lessThan1,lessThan1,2-3AWeek,bottled,Y,Y,dirtWorking,working,Clinic,Other,Other,3,street,4,0,,,,0,0
znX6B0Q8b5,lessThan1,lessThan1,2-3AWeek,bottled,Y,Y,dirtWorking,working,Clinic,Other,Other,3,street,4,0,,,,0,0
znX6B0Q8b5,lessThan1,lessThan1,2-3AWeek,bottled,Y,Y,dirtWorking,working,Clinic,Other,Other,3,street,4,0,,,,0,0
znX6B0Q8b5,lessThan1,lessThan1,2-3AWeek,bottled,Y,Y,dirtWorking,working,Clinic,Other,Other,3,street,4,0,,,,0,0
mr2QErRyOM,moreThan10,moreThan10,2-3AWeek,bottled,N,Y,dirtWorking,working,Clinic,Other,Unemployment,2,street,4,0,,,,0,0
mr2QErRyOM,moreThan10,moreThan10,2-3AWeek,bottled,N,Y,dirtWorking,working,Clinic,Other,Unemployment,2,street,4,0,,,,0,0
TZLbc8HOO9,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,dirtPoor,working,Other Hospital,Other,Other,2,street,4,0,,,,0,0
TZLbc8HOO9,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,dirtPoor,working,Other Hospital,Other,Other,2,street,4,0,,,,0,0
TZLbc8HOO9,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,dirtPoor,working,Other Hospital,Other,Other,2,street,4,0,,,,0,0
TZLbc8HOO9,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,dirtPoor,working,Other Hospital,Other,Other,2,street,4,0,,,,0,0
0KnEhDX7mk,moreThan10,3-4,2-3AWeek,bottled,Y,Y,dirtWorking,working,Other Hospital,Other Hospital,Other,2,street,4,0,,,,0,0
0KnEhDX7mk,moreThan10,3-4,2-3AWeek,bottled,Y,Y,dirtWorking,working,Other Hospital,Other Hospital,Other,2,street,4,0,,,,0,0
0KnEhDX7mk,moreThan10,3-4,2-3AWeek,bottled,Y,Y,dirtWorking,working,Other Hospital,Other Hospital,Other,2,street,4,0,,,,0,0
0KnEhDX7mk,moreThan10,3-4,2-3AWeek,bottled,Y,Y,dirtWorking,working,Other Hospital,Other Hospital,Other,2,street,4,0,,,,0,0
3GW1E8tsqh,moreThan10,5-10,4-6AWeek,bottled,Y,N,cementPoor,working,Other Hospital,Clinic,Other,1,outside house,4,0,,,,0,0
RajJ65fc9S,moreThan10,moreThan10,1AWeek,bottled,Y,Y,dirtWorking,working,Other,Other,Other,2,street,4,0,,,,0,0
RajJ65fc9S,moreThan10,moreThan10,1AWeek,bottled,Y,Y,dirtWorking,working,Other,Other,Other,2,street,4,0,,,,0,0
O7iYx90krp,3-4,3-4,everyday,bottled,Y,Y,cementPoor,working,Other,Other,Other,1,outside house,4,0,,,,0,0
KccFyIxQJC,5-10,lessThan1,2-3AWeek,bottled,Y,Y,dirtWorking,working,Other Hospital,Other,Water,2,street,4,0,,,,0,0
KccFyIxQJC,5-10,lessThan1,2-3AWeek,bottled,Y,Y,dirtWorking,working,Other Hospital,Other,Water,2,street,4,0,,,,0,0
SAEiO6tSlJ,moreThan10,moreThan10,2-3AWeek,tap,Y,N,dirtPoor,poor,Other,Other,Delinquents,1,outside house,4,0,,,,0,0
B1wK5USeq7,1-2,1-2,2-3AWeek,bottled,Y,Y,cementWorking,poor,Other,Other,Other,1,outside house,4,0,,,,0,0
ismz2DCXAI,moreThan10,moreThan10,1AMonth,bottled,Y,Y,cementPoor,working,Other Hospital,Other Hospital,Water,Unknown,street,4,0,,,,0,0
ismz2DCXAI,moreThan10,moreThan10,1AMonth,bottled,Y,Y,cementPoor,working,Other Hospital,Other Hospital,Water,Unknown,street,4,0,,,,0,0
ismz2DCXAI,moreThan10,moreThan10,1AMonth,bottled,Y,Y,cementPoor,working,Other Hospital,Other Hospital,Water,Unknown,street,4,0,,,,0,0
GEoANM3n9Y,moreThan10,moreThan10,1AWeek,tap,Y,Y,cementPoor,working,Other Hospital,Dentist,Other,1,other,4,0,,,,0,0
APd9DjCZZ8,moreThan10,3-4,Never,bottled,Y,Y,dirtWorking,working,Other,Other,Water,Unknown,other,4,0,,,,0,0
SDsK4BRlDe,3-4,3-4,2-3AWeek,bottled,Y,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1,outside house,4,0,,,,0,0
RQ5aRGHKXu,moreThan10,moreThan10,2-3AWeek,bottled,Y,N,cementPoor,poor,Other Hospital,Dentist,Other,2,other,4,0,,,,0,0
RQ5aRGHKXu,moreThan10,moreThan10,2-3AWeek,bottled,Y,N,cementPoor,poor,Other Hospital,Dentist,Other,2,other,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
7bF6YFxuIz,moreThan10,moreThan10,4-6AWeek,tap,Y,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1,street,4,0,,,,0,0
neoEkosSeM,moreThan10,5-10,1AMonth,bottled,Y,Y,dirtWorking,working,Other Hospital,Other Hospital,Water,Unknown,street,4,0,,,,0,0
DQN82bQNPI,1-2,lessThan1,2-3AWeek,bottled,Y,Y,cementWorking,poor,Clinic,Other Hospital,Other,1,outside house,4,0,,,,0,0
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,,0,0
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,,0,0
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,,0,0
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,,0,0
FZwlRTaK8F,moreThan10,moreThan10,2-3AWeek,bottled,Y,Y,cementPoor,working,Other Hospital,Dentist,Water,1,street,4,0,,,,0,0
